org,ext,gae,qe,te
Feuilles,Maceration,9.875,0.552,2.517
Feuilles,Maceration,9.966,0.552,1.974
Feuilles,Maceration,9.694,0.492,2.408
Feuilles,Decoction,14.224,0.600,2.777
Feuilles,Decoction,15.221,0.636,2.884
Feuilles,Decoction,14.587,0.552,2.929
Tronc,Maceration,8.969,0.612,2.816
Tronc,Maceration,9.604,0.684,2.740
Tronc,Maceration,9.785,0.612,2.574
Tronc,Decoction,11.416,0.756,2.718
Tronc,Decoction,11.506,0.702,3.384
Tronc,Decoction,12.140,0.750,3.096
Racine,Maceration,4.439,0.426,2.488
Racine,Maceration,8.063,0.420,2.546
Racine,Maceration,6.342,0.438,2.442
Racine,Decoction,8.245,0.522,2.128
Racine,Decoction,9.332,0.504,2.256
Racine,Decoction,9.694,0.456,2.337
Poudre,Maceration,0.997,0.102,1.385
Poudre,Maceration,1.087,0.126,1.469
Poudre,Maceration,1.268,0.102,1.483
Poudre,Decoction,1.087,0.108,1.303
Poudre,Decoction,1.087,0.084,1.331
Poudre,Decoction,1.178,0.120,1.400
